Date,L5-50UL_0_pressure,L5-50UL_0_flow,L5-50UL_1_pressure,L5-50UL_1_flow,L5-50UL_2_pressure,L5-50UL_2_flow,L5-49DL_0_pressure,L5-49DL_0_flow,L5-49DL_1_pressure,L5-49DL_1_flow,L5-49DL_2_pressure,L5-49DL_2_flow,L5-37UR_0_pressure,L5-37UR_0_flow,L5-37UR_1_pressure,L5-37UR_1_flow,L5-37UR_2_pressure,L5-37UR_2_flow,L5-37R_0_pressure,L5-37R_0_flow,L5-37R_1_pressure,L5-37R_1_flow,L5-37R_2_pressure,L5-37R_2_flow,L5-26R_0_pressure,L5-26R_0_flow,L5-26R_1_pressure,L5-26R_1_flow,L5-26R_2_pressure,L5-26R_2_flow,L5-24DR_0_pressure,L5-24DR_0_flow,L5-24DR_1_pressure,L5-24DR_1_flow,L5-24DR_2_pressure,L5-24DR_2_flow,L5-23UR_0_pressure,L5-23UR_0_flow,L5-23UR_1_pressure,L5-23UR_1_flow,L5-23UR_2_pressure,L5-23UR_2_flow,L5-22DR_0_pressure,L5-22DR_0_flow,L5-22DR_1_pressure,L5-22DR_1_flow,L5-22DR_2_pressure,L5-22DR_2_flow
2025-03-25 10:11:00,16.850355799998834,0.0,89.98364007999967,0.0,395.3657936799999,0.0,974.412982000001,0.0,-17.233384700000016,0.0,-6.076802000000128,0.0,28.285428075471863,0.0,-2.8383484245277697,0.0,-23.854946430188907,0.0,301.2000070641509,0.0,-27.27267178867933,0.0,2.745224139622441,0.0,11.195848645282986,0.0,4.148349113207454,0.0,26.53392238943395,0.0,-32.6803961886793,0.0,7.317912224528609,0.0,-12.54247599999985,0.0,26.53392238943395,0.0,-7.517775813207168,0.0,63.574790466037776,0.0,237.85188586792296,0.0,-41.04199608679212,0.0,-21.28379359433969,0.0
2025-03-25 10:12:00,16.784999599998994,0.0,89.25488775999978,0.0,393.01902495999985,0.0,974.5491480000011,0.0,-17.13037949999996,0.0,-6.0740055000001565,0.0,28.296272264151103,0.0,-2.8437092358485248,0.0,-23.8538411056606,0.0,301.18941792452824,0.0,-27.271111260377435,0.0,2.745066388679048,0.0,11.196091558490531,0.0,4.149470396226323,0.0,26.533802453018854,0.0,-32.6873396603774,0.0,7.30662063584936,0.0,-12.541976899999849,0.0,26.533802453018854,0.0,-7.518504696226028,0.0,63.57504878113212,0.0,237.86280803773428,0.0,-41.04730460377326,0.0,-21.28362013018874,0.0
2025-03-25 10:13:00,16.719643399999157,0.0,88.52613543999986,0.0,390.67225623999985,0.0,973.1042020000001,0.0,-17.12270890000039,0.0,-6.068906000000015,0.0,28.30711645283034,0.0,-2.84907004716928,0.0,-23.852735781132296,0.0,301.17882878490565,0.0,-27.269550732075544,0.0,2.7449086377356555,0.0,11.196334471698078,0.0,4.150591679245191,0.0,26.533682516603758,0.0,-32.69428313207549,0.0,7.295329047170112,0.0,-12.541477799999848,0.0,26.533682516603758,0.0,-7.519233579244888,0.0,63.57530709622646,0.0,237.8737302075456,0.0,-41.052613120754415,0.0,-21.283446666037793,0.0
2025-03-25 10:14:00,16.654287199999317,0.0,87.79738311999996,0.0,388.3254875199998,0.0,974.4328120000002,0.0,-17.25913600000028,0.0,-6.052456000000254,0.0,28.317960641509575,0.0,-2.854430858490035,0.0,-23.851630456603992,0.0,301.168239645283,0.0,-27.267990203773653,0.0,2.7447508867922625,0.0,11.196577384905625,0.0,4.151712962264059,0.0,26.53356258018866,0.0,-32.701226603773584,0.0,7.284037458490863,0.0,-12.540978699999847,0.0,26.53356258018866,0.0,-7.519962462263749,0.0,63.5755654113208,0.0,237.88465237735693,0.0,-41.05792163773556,0.0,-21.283273201886843,0.0
2025-03-25 10:15:00,16.58893099999948,0.0,87.06863080000007,0.0,385.9787187999998,0.0,973.6449000000008,0.0,-17.088739100000446,0.0,-6.028274500000116,20628.0,28.328804830188812,0.0,-2.85979166981079,0.0,-23.850525132075685,0.0,301.15765050566034,0.0,-27.266429675471763,0.0,2.7445931358488695,0.0,11.19682029811317,0.0,4.152834245282928,0.0,26.533442643773565,0.0,-32.70817007547168,0.0,7.272745869811614,0.0,-12.540479599999848,0.0,26.533442643773565,0.0,-7.520691345282609,0.0,63.57582372641515,0.0,237.89557454716828,0.0,-41.06323015471671,0.0,-21.283099737735895,0.0
2025-03-25 10:16:00,16.680747199999413,0.0,86.56938669999995,0.0,383.80963959999985,0.0,973.1822000000003,0.0,-17.198319100000845,0.0,-6.014621000000027,0.0,28.33964901886805,0.0,-2.865152481131545,0.0,-23.84941980754738,0.0,301.1470613660377,0.0,-27.26486914716987,0.0,2.744435384905477,0.0,11.197063211320717,0.0,4.153955528301797,0.0,26.53332270735847,0.0,-32.71511354716977,0.0,7.261454281132365,0.0,-12.539980499999848,0.0,26.53332270735847,0.0,-7.521420228301469,0.0,63.576082041509494,0.0,237.9064967169796,0.0,-41.06853867169786,0.0,-21.282926273584945,0.0
2025-03-25 10:17:00,16.77256339999935,0.0,86.07014259999984,0.0,381.64056039999986,0.0,974.4883360000007,0.0,-17.429532900000112,0.0,-6.079434000000065,0.0,28.350493207547288,0.0,-2.8705132924523,0.0,-23.848314483019077,0.0,301.1364722264151,0.0,-27.263308618867978,0.0,2.744277633962084,0.0,11.197306124528264,0.0,4.155076811320665,0.0,26.533202770943376,0.0,-32.722057018867865,0.0,7.250162692453117,0.0,-12.539481399999847,0.0,26.533202770943376,0.0,-7.5221491113203305,0.0,63.576340356603836,0.0,237.91741888679093,0.0,-41.07384718867901,0.0,-21.282752809433997,0.0
2025-03-25 10:18:00,16.864379599999282,0.0,85.57089849999973,0.0,379.4714811999999,0.0,974.4526420000007,0.0,-16.97806330000082,0.0,-5.998500000000034,0.0,28.361337396226524,0.0,-2.875874103773055,0.0,-23.84720915849077,0.0,301.12588308679244,0.0,-27.261748090566087,0.0,2.744119883018691,0.0,11.197549037735811,0.0,4.156198094339533,0.0,26.53308283452828,0.0,-32.72900049056596,0.0,7.238871103773867,0.0,-12.538982299999848,0.0,26.53308283452828,0.0,-7.522877994339191,0.0,63.576598671698186,0.0,237.92834105660225,0.0,-41.079155705660156,0.0,-21.282579345283047,0.0
2025-03-25 10:19:00,16.956195799999218,0.0,85.07165439999962,0.0,377.3024019999999,0.0,974.0282800000008,0.0,-17.190100600000168,0.0,-5.974483000000228,0.0,28.37218158490576,0.0,-2.88123491509381,0.0,-23.846103833962466,0.0,301.1152939471698,0.0,-27.260187562264196,0.0,2.743962132075298,0.0,11.197791950943357,0.0,4.157319377358402,0.0,26.532962898113183,0.0,-32.73594396226405,0.0,7.227579515094619,0.0,-12.538483199999847,0.0,26.532962898113183,0.0,-7.523606877358051,0.0,63.57685698679253,0.0,237.93926322641357,0.0,-41.08446422264131,0.0,-21.2824058811321,0.0
2025-03-25 10:20:00,17.04801199999915,0.0,84.5724102999995,0.0,375.1333228,0.0,974.4883360000007,0.0,-17.020799500000557,0.0,-6.028274500000116,19668.0,28.383025773585,0.0,-2.8865957264145647,0.0,-23.84499850943416,0.0,301.10470480754714,0.0,-27.258627033962302,0.0,2.7438043811319055,0.0,11.198034864150904,0.0,4.158440660377271,0.0,26.532842961698087,0.0,-32.742887433962146,0.0,7.2162879264153705,0.0,-12.537984099999846,0.0,26.532842961698087,0.0,-7.524335760376911,0.0,63.57711530188687,0.0,237.9501853962249,0.0,-41.089772739622454,0.0,-21.28223241698115,0.0
